 numeric code,Location,Sex,Note,2000.00,2005,2010,2015,2020
900,World,Both sexes combined,,6145006.99,6542159.383,6958169.159,7383008.82,7795482.309
900,World,Female,,3052010.87,3246037.789,3449929.767,3658876.55,3862706.137
900,World,Male,,3092996.21,3296121.711,3508239.442,3724132.11,3932776.019
901,   More developed regions,Both sexes combined,a,1190504.74,1210545.53,1235142.506,1253206.546,1269276.846
901,   More developed regions,Female,a,611686.18,621663.24,634068.092,642693.119,650101.768
901,   More developed regions,Male,a,578818.57,588882.367,601074.447,610513.364,619175.098
902,   Less developed regions,Both sexes combined,b,4954502.25,5331613.853,5723026.653,6129802.274,6526205.463
902,   Less developed regions,Female,b,2440324.69,2624374.549,2815861.675,3016183.431,3212604.369
902,   Less developed regions,Male,b,2514177.64,2707239.344,2907164.995,3113618.746,3313600.921
941,      Least developed countries,Both sexes combined,c,664804.76,754118.072,848791.962,956631.108,1073984.277
941,      Least developed countries,Female,c,333366.00,378041.712,426169.414,480044.441,538680.111
941,      Least developed countries,Male,c,331438.77,376076.325,422622.596,476586.671,535304.148
934,"      Less developed regions, excluding least developed countries",Both sexes combined,d,4289697.49,4577495.781,4874234.691,5173171.166,5452221.186
934,"      Less developed regions, excluding least developed countries",Female,d,2106958.69,2246332.837,2389692.261,2536138.99,2673924.258
934,"      Less developed regions, excluding least developed countries",Male,d,2182738.87,2331163.019,2484542.399,2637032.075,2778296.773
948,"   Less developed regions, excluding China",Both sexes combined,,3642371.42,3980077.157,4332606.955,4701441.323,5069639.765
948,"   Less developed regions, excluding China",Female,,1801815.10,1967367.948,2140509.487,2322966.57,2505739.872
948,"   Less developed regions, excluding China",Male,,1840556.38,2012709.251,2192097.479,2378474.66,2563899.725
1503,   High-income countries,Both sexes combined,e,1070130.22,1106701.844,1148592.393,1180060.957,1207775.438
1503,   High-income countries,Female,e,542300.50,559363.137,578362.115,592938.1,605521.492
1503,   High-income countries,Male,e,527829.78,547338.743,570230.27,587122.81,602253.91
1517,   Middle-income countries,Both sexes combined,e,4647489.69,4944485.729,5246881.509,5558263.979,5852576.168
1517,   Middle-income countries,Female,e,2294112.51,2439316.232,2588098.142,2741602.104,2887805.667
1517,   Middle-income countries,Male,e,2353377.19,2505169.572,2658783.439,2816661.811,2964770.47
1501,      Lower-middle-income countries,Both sexes combined,e,2339911.63,2546842.104,2757470.386,2969900.999,3182454.145
1501,      Lower-middle-income countries,Female,e,1149723.13,1250836.034,1354055.055,1458825.242,1564236.509
1501,      Lower-middle-income countries,Male,e,1190188.53,1296006.073,1403415.363,1511075.758,1618217.619
1502,      Upper-middle-income countries,Both sexes combined,e,2307578.06,2397643.625,2489411.123,2588362.98,2670122.023
1502,      Upper-middle-income countries,Female,e,1144389.38,1188480.198,1234043.087,1282776.862,1323569.158
1502,      Upper-middle-income countries,Male,e,1163188.66,1209163.499,1255368.076,1305586.053,1346552.851
1500,   Low-income countries,Both sexes combined,e,425129.55,488440.913,560007.444,641858.608,732132.8
1500,   Low-income countries,Female,e,214451.62,246075.059,282093.254,322888.514,367842.666
1500,   Low-income countries,Male,e,210677.96,242365.834,277914.213,318970.093,364290.1
947,   Sub-Saharan Africa,Both sexes combined,f,645007.13,736925.453,845136.154,969234.251,1106572.881
947,   Sub-Saharan Africa,Female,f,324317.18,370338.586,424331.549,486039.823,554392.518
947,   Sub-Saharan Africa,Male,f,320689.97,366586.841,420804.62,483194.39,552180.286
903,   Africa,Both sexes combined,,817566.00,924757.708,1049446.344,1194369.908,1352622.189
903,   Africa,Female,,410139.08,463804.118,526140.763,598112.714,676814.953
903,   Africa,Male,,407426.91,460953.559,523305.6,596257.147,675807.171
910,      Eastern Africa,Both sexes combined,,261113.89,300599.706,346987.498,399458.026,457439.68
910,      Eastern Africa,Female,,131874.39,151770.841,175041.32,201333.131,230352.244
910,      Eastern Africa,Male,,129239.49,148828.854,171946.211,198124.857,227087.377
108,         Burundi,Both sexes combined,,6400.71,7423.289,8766.93,10199.27,11939.227
108,         Burundi,Female,,3260.00,3772.654,4461.967,5183.995,6057.12
108,         Burundi,Male,,3140.70,3650.627,4304.969,5015.272,5882.103
174,         Comoros,Both sexes combined,,542.36,611.627,689.692,777.424,869.601
174,         Comoros,Female,,269.51,303.613,342.069,385.346,430.942
174,         Comoros,Male,,272.85,308.012,347.627,392.089,438.653
262,         Djibouti,Both sexes combined,,717.58,783.254,851.146,927.414,999.899
262,         Djibouti,Female,,356.82,389.622,423.588,461.853,498.384
262,         Djibouti,Male,,360.76,393.626,427.561,465.561,501.516
232,         Eritrea,Both sexes combined,,3392.80,3969.007,4390.84,4846.976,5432.216
232,         Eritrea,Female,,1696.52,1983.985,2193.336,2419.187,2708.94
232,         Eritrea,Male,,1696.29,1985.025,2197.503,2427.799,2723.27
231,         Ethiopia,Both sexes combined,,66537.33,76727.083,87702.67,99873.033,112759.07
231,         Ethiopia,Female,,33360.68,38450.795,43934.519,50012.145,56448.372
231,         Ethiopia,Male,,33176.66,38276.287,43768.157,49860.882,56310.699
404,         Kenya,Both sexes combined,,31450.48,36048.288,41350.152,47236.259,53491.697
404,         Kenya,Female,,15831.34,18138.666,20796.269,23759.244,26906.587
404,         Kenya,Male,,15619.14,17909.625,20553.888,23477.023,26585.106
450,         Madagascar,Both sexes combined,,15766.81,18336.724,21151.64,24234.088,27690.798
450,         Madagascar,Female,,7916.32,9206.229,10615.345,12152.289,13876.181
450,         Madagascar,Male,,7850.49,9130.493,10536.295,12081.791,13814.616
454,         Malawi,Both sexes combined,,11376.17,13039.711,15167.095,17573.607,20283.691
454,         Malawi,Female,,5765.81,6603.728,7668.292,8871.473,10229.577
454,         Malawi,Male,,5610.35,6435.982,7498.804,8702.133,10054.124
480,         Mauritius,Both sexes combined,1,1185.15,1222.003,1247.955,1259.456,1274.114
480,         Mauritius,Female,1,597.45,616.39,629.375,635.662,645.513
480,         Mauritius,Male,1,587.69,605.62,618.578,623.795,628.595
175,         Mayotte,Both sexes combined,,150.33,178.098,208.718,240.02,273.11
175,         Mayotte,Female,,74.27,90.327,106.683,122.136,138.746
175,         Mayotte,Male,,76.06,87.776,102.033,117.875,134.351
508,         Mozambique,Both sexes combined,,18067.69,20923.07,24221.405,28010.691,32309.195
508,         Mozambique,Female,,9401.48,10817.067,12460.012,14350.344,16497.724
508,         Mozambique,Male,,8666.20,10106.007,11761.394,13660.351,15811.457
638,         Réunion,Both sexes combined,,736.71,791.598,830.519,863.363,896.536
638,         Réunion,Female,,377.19,403.143,428.375,445.266,462.577
638,         Réunion,Male,,359.53,388.455,402.132,418.093,433.948
646,         Rwanda,Both sexes combined,,8025.70,8991.735,10246.842,11629.553,13087.173
646,         Rwanda,Female,,4110.74,4597.014,5229.828,5928.316,6667.723
